godina;sifra;naziv;iznos_eur;broj_isplata;broj_primatelja;udio_posto
2026;3423;KAMATE ZA PRIMLJENE KREDITE I ZAJMOVE OD KREDITNIH I OSTALIH FINANCIJSKIH INSTITUCIJA IZVAN JAVNOG S;3247308.84;527;45;0.25
2026;3221;UREDSKI MATERIJAL I OSTALI MATERIJALNI RASHODI;2998956.52;2354;371;0.23
2026;3236;ZDRAVSTVENE I VETERINARSKE USLUGE;2270919.55;2169;306;0.18
2026;4231;PRIJEVOZNA SREDSTVA U CESTOVNOM PROMETU;2143583.42;17;9;0.17
2026;3292;PREMIJE OSIGURANJA;2135740.46;713;298;0.17
2026;5413;OTPLATA GLAVNICE PRIMLJENIH ZAJMOVA OD MEĐUNARODNIH ORGANIZACIJA;2105263.16;1;1;0.16
2026;4227;UREĐAJI, STROJEVI I OPREMA ZA OSTALE NAMJENE;2019181.97;245;164;0.16
2026;4251;VIŠEGODIŠNJI NASADI;1931206.03;5;1;0.15
2026;3233;USLUGE PROMIDŽBE I INFORMIRANJA;1850808.90;2612;351;0.14
2026;4262;ULAGANJA U RAČUNALNE PROGRAME;1499149.26;40;19;0.12
2026;3421;KAMATE ZA PRIMLJENE KREDITE I ZAJMOVE OD MEĐUNARODNIH ORGANIZACIJA, INSTITUCIJA I TIJELA EU TE INOZE;1464777.69;2;1;0.11
2026;3224;MATERIJAL I DIJELOVI ZA TEKUĆE I INVESTICIJSKO ODRŽAVANJE;1429637.33;1986;318;0.11
2026;3831;NAKNADE ŠTETA PRAVNIM I FIZIČKIM OSOBAMA;1200048.31;1280;47;0.09
2026;4241;KNJIGE;974422.76;41;12;0.08
2026;3522;SUBVENCIJE TRGOVAČKIM DRUŠTVIMA I ZADRUGAMA IZVAN JAVNOG SEKTORA;922732.21;119;93;0.07
2026;3131;DOPRINOSI ZA MIROVINSKO OSIGURANJE ZA STAŽ S POVEĆANIM TRAJANJEM;860226.75;25;3;0.07
2026;3227;SLUŽBENA, RADNA I ZAŠTITNA ODJEĆA I OBUĆA;769106.23;1263;208;0.06
2026;3113;PLAĆE ZA PREKOVREMENI RAD;758195.98;207;18;0.06
2026;3225;SITNI INVENTAR I AUTOGUME;712435.27;1549;274;0.06
2026;3211;SLUŽBENA PUTOVANJA;685526.01;2500;340;0.05
2026;3114;PLAĆE ZA POSEBNE UVJETE RADA;655350.56;30;4;0.05
2026;4224;MEDICINSKA I LABORATORIJSKA OPREMA;619332.20;38;13;0.05
2026;4111;ZEMLJIŠTE;617487.93;14;5;0.05
2026;3213;STRUČNO USAVRŠAVANJE ZAPOSLENIKA;573818.55;1873;348;0.04
2026;4226;SPORTSKA I GLAZBENA OPREMA;565207.03;16;5;0.04
2026;3295;PRISTOJBE I NAKNADE;540904.43;1581;120;0.04
2026;3431;BANKARSKE USLUGE I USLUGE PLATNOG PROMETA;377703.79;2225;329;0.03
2026;3293;REPREZENTACIJA;324924.92;1488;248;0.03
2026;3433;ZATEZNE KAMATE;303502.16;4378;260;0.02
2026;4124;OSTALA PRAVA;297385.93;9;3;0.02
2026;4223;OPREMA ZA ODRŽAVANJE I ZAŠTITU;293363.44;51;21;0.02
2026;3813;TEKUĆE DONACIJE IZ EU SREDSTAVA;257782.68;26;22;0.02
2026;3822;KAPITALNE DONACIJE GRAĐANIMA I KUĆANSTVIMA;253584.04;9;2;0.02
2026;4243;MUZEJSKI IZLOŠCI I PREDMETI PRIRODNIH RIJETKOSTI;239000.00;4;4;0.02
2026;4264;OSTALA NEMATERIJALNA PROIZVEDENA IMOVINA;199893.98;5;1;0.02
2026;4211;STAMBENI OBJEKTI;185782.58;3;2;0.01
2026;3294;ČLANARINE I NORME;138540.48;1273;226;0.01
2026;3241;NAKNADE TROŠKOVA OSOBAMA IZVAN RADNOG ODNOSA;133097.21;112;24;0.01
2026;3681;TEKUĆE POMOĆI TEMELJEM PRIJENOSA EU SREDSTAVA;116747.78;9;3;0.01
2026;3296;TROŠKOVI SUDSKIH POSTUPAKA;102921.72;52;8;0.01
2026;3251;RASHODI PO OSNOVI UTROŠKA LIJEKOVA I POTROŠNOG MEDICINSKOG MATERIJALA;77342.50;45;8;0.01
2026;3812;TEKUĆE DONACIJE U NARAVI;75481.31;217;217;0.01
2026;3434;OSTALI NESPOMENUTI FINANCIJSKI RASHODI;74538.05;550;82;0.01
2026;3112;PLAĆE U NARAVI;71529.46;98;3;0.01
